word,cityNumber,word_central_lon,word_central_lat,radius,median,shopNumberLessThanMedian,shopNumberLargerThanMedian,largestDistance,avgDistance,word_ratio
rights,18,-2.4172670006105323,53.98330064720315,522454.028557836,249341.73,14,15,719522.1,314453.46,0.48
reviews,18,-2.5943452827482814,53.480503438746204,510786.6905511556,320000.01,16,14,659123.6,319474.89,0.37
place,18,-1.8296082897212782,53.99627565563805,498914.0195390354,209809.35,21,15,783584.46,277106.21,0.44
donner wrap,18,-1.987313422038299,53.83744021631051,466044.1888548751,246955.6,15,21,649504.36,296740.69,0.31
tea,18,-2.638352315025063,52.99816758507351,577149.1224142839,336395.68,19,16,892622.11,364571.42,0.31
starters,18,-2.3606457563956225,54.16834576894996,550285.3268473165,290323.83,13,19,687787.01,308957.42,0.28
tomato sauce,18,-2.5627557939314283,54.644148325733035,498566.15041149204,284398.82,17,17,761915.18,300749.06,0.26
calzone,17,-2.8096311773691984,55.0520382625125,437870.91429592506,226613.83,23,16,665858.81,266973.88,0.51
ketchup,17,-2.3091071705760187,54.06473012160272,485361.74265354726,296205.37,12,15,708257.1,314033.43,0.26
herbs,17,-2.187240211289042,54.00091468835803,462983.1595196849,279461.32,11,12,723913.56,297281.97,0.3
quarter pounder,17,-2.432361048240512,54.15041812772079,498482.19009315444,265526.89,14,18,565304.78,292004.04,0.41
prawns,17,-2.0071094860074408,54.01814736530228,507426.144926761,397509.25,11,9,727358.95,338592.21,0.5
half pounder,17,-2.4116243557146175,54.27995299948673,523157.40575974743,285474.68,15,16,571768.99,274690.28,0.48
terms,17,-1.8507904894218203,53.70347664450896,551919.1978982736,243640.82,18,14,675151.85,290947.35,0.44
potato wedges,17,-2.0378178216750884,53.69886172408347,485282.81136026635,246129.02,15,16,574108.84,274441.83,0.19
conditions,17,-1.8541964718983508,53.70035664406824,552404.4685960806,244264.56,17,14,675722.09,291070.24,0.42
wings,17,-1.8405636674733596,52.88773710072608,629029.654777106,252141.42,15,11,933810.21,300192.81,0.58
privacy policy,17,-1.681125991213755,53.67456714127404,561740.98214064,235277.79,16,14,681599.02,272825.43,0.43
crispy,17,-2.6108390698106203,53.69692608600302,550192.0057104515,410594.63,12,10,695455.08,365695.26,0.27
pineapple fritter,17,-1.843602370256563,52.297792086353276,523119.5667499955,338849.58,21,10,934775.78,365729.17,0.32
side salad,17,-1.685328191832017,53.761381105918794,461878.9667508825,328915.23,14,11,752393.02,320848.09,0.36
fish fingers,16,-2.5678219088723657,54.14047696678329,556615.0174470608,204841.03,11,16,774878.16,279512.33,0.33
understanding,16,-1.8082993549280655,53.896492237809596,517752.8348143376,245203.79,18,11,688625.95,290568.1,0.45
cream,16,-2.599791035500921,54.41146485855636,545052.9703734483,353166.04,14,10,822068.95,368977.61,0.13
