word,cityNumber,word_central_lon,word_central_lat,radius,median,shopNumberLessThanMedian,shopNumberLargerThanMedian,largestDistance,avgDistance,word_ratio,regional
mix kebab,6,-1.9907217255345182,52.539178048630774,207042.11647620634,132182.23,4,3,459871.92,167391.77,0.71,N
mango can,6,-2.081717799201423,54.235368544830756,233355.4367017799,191016.51,4,3,327472.89,191906.68,0.71,N
salad or,8,-1.8918243226789035,54.99529886639972,315027.22921327874,174769.59,10,4,378177.29,178132.31,0.71,Y
spaghetti bolognese,6,-3.3658595482750693,55.32331694558488,367691.35832940723,250722.77,10,4,512966.51,260489.58,0.71,Y
cheese regular,4,-3.635283598627902,55.69773442035199,290484.9423137794,183598.43,5,2,433700.3,217751.63,0.71,N
cream sauce,4,-2.787629826545448,55.437127733740695,424149.3274766046,269681.13,5,2,467704.83,279592.3,0.71,N
chicken tandoori,8,-1.1919904889843176,53.11875676347877,354413.00968218484,140909.44,6,4,626827.11,223155.69,0.7,N
portions of,8,-1.6732131342105285,53.75274409062496,236902.47478772752,177414.79,6,4,457448.05,172490.73,0.7,N
hash brown,8,-2.009481967063018,54.3420836886786,339982.05040308076,155899.5,5,5,683970.55,244170.88,0.7,N
chips pieces,7,-1.2951185599811748,52.88600230129488,357540.872057443,100143.03,6,4,657512.1,217447.39,0.7,N
pie,11,-1.70532825987466,52.747978522909634,286804.0251391296,187266.2,6,7,407995.94,183150.31,0.69,N
cone of,10,-2.1028568284127096,53.217890616786164,561347.6309315441,246715.89,13,6,765283.14,314386.37,0.68,N
sausage small,14,-1.5690362979909005,52.8103302000234,402957.308820801,168481.65,11,7,434602.16,195747.68,0.67,N
steak and,13,-1.2199156470767345,52.9350360981113,349406.4827852371,200770.77,14,7,415736.68,217074.29,0.67,N
of fish,12,-2.173275253032025,54.00226006712767,432507.3850256641,218318.09,9,9,515928.34,256075.48,0.67,N
chicken large,8,-1.4003894270782689,53.02263800986833,331506.14528713125,151700.05,5,4,586383.19,202801.58,0.67,N
fish we,2,-0.25415623311897156,53.00069729130522,270919.28931249713,204932.06,2,1,270919.29,204932.06,0.67,N
mozzarella chicken,2,-4.816445325140351,55.43862718240431,207205.6850117145,155868.92,2,1,207205.69,155868.92,0.67,N
see this,2,-2.5519621192321735,52.81434286671825,251697.4644344235,190071.6,2,1,251697.46,190071.6,0.67,N
chips tray,2,-1.5601795457321983,53.98595223637004,293243.0780396399,222018.24,2,1,293243.08,222018.24,0.67,N
ton soup,2,-1.9415015353981477,53.009249272463485,273322.60629877105,205280.51,2,1,273322.61,205280.51,0.67,N
half pizza,8,-3.509534861465278,55.592969135276526,408779.493900319,225529.73,18,6,616079.32,282693.14,0.67,Y
black pudding,18,-3.271942876473948,55.54936300791395,547659.9046577578,242103.9,50,15,601281.09,296312.78,0.66,Y
piece of,12,-2.067740393347673,53.32411436177116,545284.2936356086,160187.79,10,7,545284.29,216139.93,0.65,N
large curry,9,-1.3743088973384927,53.49792756177155,336726.66285576177,196664.19,8,6,547026.25,210307.28,0.64,N
peas large,14,-1.8592981940620112,53.33284168709397,554596.2488045036,165998.79,14,13,673661.05,230340.59,0.63,N
of pepsi,13,-1.6320145050344763,53.48125407905712,385124.65394567465,165544.76,9,10,403971.02,201080.3,0.63,N
large donner,12,-1.7474259000197763,54.41982980669326,424402.9644211966,276829.88,13,6,475256.76,246505.42,0.63,N
they are,7,-1.9560354004446738,53.74616381222789,252841.44745975884,237259.85,4,4,735285.48,256615.49,0.63,N
oz burger,4,-5.498258956567977,54.32974625972671,570055.5660815021,404045.39,6,2,579355.08,363988.2,0.63,N
with tomato,11,-2.174903367304853,54.493202041730214,306281.4449150298,149520.32,6,7,497171.09,193579.23,0.62,N
tray of,13,-1.8915175060479545,54.15087004358455,310789.42324584257,217246.37,14,9,646697.28,247401.22,0.61,N
spring roll,19,-1.886571771546888,53.092474293636506,567164.2897176133,276916.37,27,18,592762.17,263119.87,0.58,N
beans large,13,-1.9989556442583092,53.30621788195365,551706.2837684738,202354.63,14,10,748944.47,291186.53,0.58,N
kung po,4,-2.452335882366919,53.45676208368059,368024.9208912806,322968.48,5,2,509933.61,303736.82,0.57,N
cookies to,4,-2.2523299756661976,53.38513691420592,362510.78916598234,333401.59,5,2,417672.67,275608.83,0.57,N
onion pie,25,-1.7046932180945873,53.06504775845328,451615.6237319092,263987.99,32,22,641894.43,254340.1,0.56,N
any x,20,-1.721624303531984,54.11284743840241,441475.9834159964,252308.23,23,11,598783.29,271355.62,0.53,N
small battered,10,-2.0796826387167444,53.63478586439551,559399.2818735613,308874.04,12,5,631723.85,329124.62,0.53,N
small battered,10,-2.0796826387167444,53.63478586439551,559399.2818735613,308874.04,12,5,631723.85,329124.62,0.53,N
steak,25,-1.6140978124323841,52.530550184352485,419429.5866094493,249954.09,41,26,571609.42,265808.93,0.49,N
family meal,13,-2.2488804896127212,54.03522864773865,481826.3880372907,236212.24,7,8,715615.08,273176.01,0.47,N
haddock,26,-1.5660703792083512,52.62650210609933,608575.0342478713,295855.71,44,18,685503.61,304009.5,0.45,N
you would,20,-1.9656860046797866,53.7057210246825,548754.1516687798,247979.43,21,15,674330.65,295693.49,0.42,N
could harm,16,-1.848471901566233,53.78448849418025,537154.1166353885,235036.29,18,13,659943.6,265101.39,0.42,N
advise you,16,-1.848471901566233,53.78448849418025,537154.1166353885,235036.29,18,13,659943.6,265101.39,0.42,N
sweetcorn,16,-2.8732573620754924,55.11735252830943,532107.6497658432,280083.6,27,11,640404.15,308233.93,0.42,N
mushy peas,36,-1.966617899422856,53.29975697379705,623220.5778713448,320310.85,61,57,856714.96,340242.35,0.38,N
from you,16,-1.7104395006529003,53.795663797218005,538908.0466583946,234838.16,16,13,658668.22,256137.97,0.38,N
kids fish,25,-2.2647353916371475,54.087245555764675,534456.1357026864,245585.22,23,33,651258.35,299003.51,0.36,N
lb cheese,6,-3.0854983324512775,53.91665738552205,394241.6757940362,331580.6,3,3,652362.31,333856.04,0.33,N
fish cake,36,-2.0157862961066013,53.65406818022287,565451.143471709,289978.71,75,50,791946.3,338422.45,0.32,N
fish,36,-2.2855414397713085,53.86756955318165,589224.5214238599,278617.97,72,61,744639.6,338555.39,0.29,N
strawberry milkshake,6,-2.7155389335291438,54.61382531665809,357694.28631223436,282504.2,3,4,582276.84,282712.85,0.29,N
chips,37,-2.2636707417612554,53.757215307980665,569644.0692957375,292061.6,97,86,765245.55,344686.23,0.28,N
chicken burger,37,-2.409913041831547,53.99278107351634,641927.3286088324,310945.21,65,67,755511.9,351236.45,0.26,N
chicken,36,-2.342418524958987,53.672607770434944,584799.9125543609,281292.49,63,63,778097.15,341922.59,0.26,N
chicken nuggets,37,-2.2585749930203978,53.83995703890616,608616.5640875979,279074.56,86,73,750491.31,345983.17,0.25,N
onion rings,37,-2.41966510141953,54.0681225257923,655231.1276564156,324821,69,78,768243.82,353439.95,0.22,N
monday to,8,-1.588327511066486,54.16806481653827,516532.9657397058,290286.55,4,5,638860.35,328155.45,0.22,N
roll,7,-3.6688671766817937,55.334976629352475,817176.5012350231,132451.04,15,5,915684.72,392664.31,0.15,N
bottle,8,-1.0021519232268785,53.5007314749893,377088.0480560057,294799.17,4,4,531502.91,296528.34,0.13,N
a dip,8,-3.052473900107319,54.19400306111277,374142.841437253,336309.54,4,4,506743.09,323246.12,0.13,N
pickled gherkin,12,-2.0433291821104613,52.613547775654084,666256.7493594519,373778.57,6,9,666256.75,404750.33,0.13,N
squeeze me,6,-2.957292892215947,55.50685155345718,364231.2977464531,273405.85,7,3,580479.63,305751.61,0.1,N
with mushrooms,7,-2.5773938421882496,54.02159949421762,451370.9968494376,322479.48,3,4,611076.27,341013.65,0,N
mailing list,4,-4.793994051330552,54.38824475469465,522417.6945001847,446746.8,7,2,745160.16,442682.76,0,N
chicken on,2,-3.2562210286146853,52.06534059723996,249012.82909182948,245426.78,1,1,249012.83,245426.78,0,N
super chicken,2,-3.578929484081447,56.18476800338307,272696.6084771161,268348.84,1,1,272696.61,268348.84,0,N
ask your,2,-3.7406779345981716,54.18892012640384,255178.98541384426,255029.14,1,1,255178.99,255029.14,0,N
garlic pizza,6,-2.923825543235658,54.29115993603942,384614.78954105696,347716.17,9,6,561693.72,380868.86,0,N
our mailing,4,-4.793994051330552,54.38824475469465,522417.6945001847,446746.8,7,2,745160.16,442682.76,0,N
mailing list,4,-4.793994051330552,54.38824475469465,522417.6945001847,446746.8,7,2,745160.16,442682.76,0,N
cheese tomato,10,-2.191826970580075,54.657844097460284,408931.12267117505,294029.51,15,6,493359.95,267997.15,0.62,Y
haddock chips,4,-3.537623991876637,51.42480955928713,487530.65743140184,384326.29,5,2,1103210.26,478207.52,0.43,N
menu items,3,-4.5405838164680485,53.887711517370256,761392.8572866769,267244.04,5,2,761392.86,410783.79,0,N
curry rolls,2,-2.3659724659254864,54.67152357442047,758467.892719891,512594.06,3,1,758467.89,512594.06,0,N
chicken chow,4,-2.452335882366919,53.45676208368059,368024.9208912806,322968.48,5,2,509933.61,303736.82,0.57,N
chow mein,4,-2.452335882366919,53.45676208368059,368024.9208912806,322968.48,5,2,509933.61,303736.82,0.57,N
cod roe,15,-1.0825824372539568,52.381781625095115,493118.002826163,237169.13,23,9,594433.35,238856.76,0.59,Y
