word,distance_centre,shop_number,word_central_lon,word_central_lat,radius,word_ratio
minut,66914.67,2,-0.8344051525731241,52.64398150335826,447256.88205230306,0.43
minut,342526.58,1,-0.8344051525731241,52.64398150335826,447256.88205230306,0.43
minut,220705.05,1,-0.8344051525731241,52.64398150335826,447256.88205230306,0.43
minut,447256.88,1,-0.8344051525731241,52.64398150335826,447256.88205230306,0.43
feeling,0.0,3,-1.15047,52.9536,0.0,1.0
perilla,0.0,1,-4.14082,50.37771,0.0,1.0
loch,431839.8,1,-3.190664425203576,53.71601207827884,431839.8001168997,0.0
loch,409454.21,1,-3.190664425203576,53.71601207827884,431839.8001168997,0.0
supplement,0.0,1,-5.066539999999999,50.15201,1.1641532182693481e-10,1.0
mini,224614.74,5,-2.1835183517604615,53.67265540350788,481559.94056162395,0.33
mini,556600.91,1,-2.1835183517604615,53.67265540350788,481559.94056162395,0.33
mini,205961.92,1,-2.1835183517604615,53.67265540350788,481559.94056162395,0.33
mini,101035.23,2,-2.1835183517604615,53.67265540350788,481559.94056162395,0.33
mini,53114.96,2,-2.1835183517604615,53.67265540350788,481559.94056162395,0.33
mini,373332.76,1,-2.1835183517604615,53.67265540350788,481559.94056162395,0.33
mini,246784.18,2,-2.1835183517604615,53.67265540350788,481559.94056162395,0.33
mini,310274.03,1,-2.1835183517604615,53.67265540350788,481559.94056162395,0.33
mini,255959.64,2,-2.1835183517604615,53.67265540350788,481559.94056162395,0.33
mini,454170.44,4,-2.1835183517604615,53.67265540350788,481559.94056162395,0.33
mini,36399.17,1,-2.1835183517604615,53.67265540350788,481559.94056162395,0.33
mini,222756.15,7,-2.1835183517604615,53.67265540350788,481559.94056162395,0.33
mini,176370.22,4,-2.1835183517604615,53.67265540350788,481559.94056162395,0.33
mini,96456.02,3,-2.1835183517604615,53.67265540350788,481559.94056162395,0.33
mini,74417.01,2,-2.1835183517604615,53.67265540350788,481559.94056162395,0.33
mini,481559.94,4,-2.1835183517604615,53.67265540350788,481559.94056162395,0.33
mini,220142.77,2,-2.1835183517604615,53.67265540350788,481559.94056162395,0.33
mini,416325.91,1,-2.1835183517604615,53.67265540350788,481559.94056162395,0.33
mini,451355.38,2,-2.1835183517604615,53.67265540350788,481559.94056162395,0.33
mini,200927.48,1,-2.1835183517604615,53.67265540350788,481559.94056162395,0.33
mini,783024.47,1,-2.1835183517604615,53.67265540350788,481559.94056162395,0.33
mini,124498.35,4,-2.1835183517604615,53.67265540350788,481559.94056162395,0.33
mini,245778.74,4,-2.1835183517604615,53.67265540350788,481559.94056162395,0.33
mini,437364.86,1,-2.1835183517604615,53.67265540350788,481559.94056162395,0.33
beastly,0.0,1,-5.933330000000001,54.583330000000004,0.0,1.0
cumberland,241031.54,1,-2.841465094937855,54.73619665865725,78905.71946438195,0.89
cumberland,31759.39,4,-2.841465094937855,54.73619665865725,78905.71946438195,0.89
cumberland,17032.99,3,-2.841465094937855,54.73619665865725,78905.71946438195,0.89
cumberland,78905.72,1,-2.841465094937855,54.73619665865725,78905.71946438195,0.89
sorrento,62652.94,1,-2.149552336861462,54.87272210930173,166081.50829709362,0.5
sorrento,117151.63,1,-2.149552336861462,54.87272210930173,166081.50829709362,0.5
sorrento,664624.18,1,-2.149552336861462,54.87272210930173,166081.50829709362,0.5
sorrento,166081.51,1,-2.149552336861462,54.87272210930173,166081.50829709362,0.5
sidwell,0.0,1,-3.53271,50.71936,0.0,1.0
exploring,0.0,1,-1.51217,52.40656,0.0,1.0
quench,0.0,1,-1.51217,52.40656,0.0,1.0
