word,cityNumber,word_central_lon,word_central_lat,radius,median,shopNumberLessThanMedian,shopNumberLargerThanMedian,largestDistance,avgDistance,word_ratio
last,12,-1.9764152108409978,53.70136154900104,571699.4525996728,453794.79,8,6,726792.09,370612.9,0.29
create,12,-1.828717662727332,53.98357372725792,453386.8434649803,242931.73,8,10,622523.0,283747.92,0.28
phone,12,-2.0005519271953047,53.68340465986425,489894.0417469463,251118.57,7,7,722552.16,303882.14,0.21
ordered,12,-2.190522802066893,52.567016349653805,654479.1763003104,198012.47,6,7,654479.18,264292.02,0.54
roasted,12,-1.7602791321752607,53.06332864240726,576113.5675926853,342863.78,7,6,603925.89,347113.3,0.31
cornish,12,-1.1861269251194442,52.47548668262951,328902.98779486935,162367.16,14,9,597596.0,196667.82,0.78
pasta,12,-3.262404342361906,55.2888768945518,501587.56526832015,298500.95,22,7,965504.01,346972.52,0.41
breadcrumb,12,-2.686743775848713,54.58943685225977,370763.28633859253,287806.67,9,12,638374.11,287952.39,0.33
citrus,11,-1.937465942006054,54.07639238038284,514320.62165167165,313899.18,6,8,604494.07,303499.98,0.29
dry,11,-2.637261176789863,53.78554148710451,503711.4062528678,424059.17,8,13,566045.13,394997.18,0.14
excellent,11,-2.1306763522391323,53.31760927332612,655723.4184580366,312371.38,6,8,655723.42,321525.2,0.29
each,11,-2.421356239079858,54.66733831084752,406828.48567779857,310398.6,6,11,562208.11,277522.13,0.35
kiev,11,-2.018269991504628,54.81489566504756,342379.57232970285,183029.05,19,9,649189.19,221143.07,0.71
standard,11,-2.8429643522215473,52.76478877264768,853015.0341548447,443888.67,9,8,853015.03,412408.58,0.18
ordering,11,-2.514048497306336,53.04301467813392,433739.34986217215,352713.62,11,9,495556.4,295932.47,0.35
twist,11,-2.2894396568070507,53.83975202648161,456823.71350742626,257655.15,5,10,584026.39,313197.4,0.2
than,11,-2.1735863805367854,52.41528147603651,582343.3284216697,319917.14,7,8,682109.39,346405.99,0.13
cappuccino,11,-1.7706765027165983,52.928321590076564,599811.6545796953,284023.94,7,10,625668.25,273158.18,0.41
everything,11,-2.1385557701173954,53.480473760558525,470798.4324598336,210059.96,9,7,515709.48,248121.7,0.44
welcome,11,-2.259946371482316,53.40734900293978,465112.5932833031,223141.25,11,9,663395.08,250732.79,0.55
warm,11,-2.206706575894905,53.62043393463797,701472.6909204402,266089.09,7,7,701472.69,326379.72,0.36
address,11,-1.7511253569649567,53.57075018933747,539234.0381406028,380145.88,7,6,717840.33,361137.22,0.23
peri,11,-2.047303161799003,53.884753351913695,454932.87833648926,213594.86,8,10,599130.59,234407.76,0.28
yoghurt,11,-2.300478737498436,53.478617732249475,518109.6188126049,277689.38,11,7,584534.7,320499.3,0.39
soup,11,-2.192826571712136,53.14882377951918,625163.4238111421,344438.9,8,11,625163.42,361040.31,0.32
sour,11,-2.606237777111395,53.87838172994875,583871.8850166941,425673.51,10,7,733133.32,404805.63,0.41
