word,coordinations
unit,"52.63220,1.28925 54.58333,-5.93333"
lincolnshire farms,"53.79648,-1.54785"
bechaemel sauce,"54.97328,-1.61396"
vanilla ice cream cone,"55.86515,-4.25763"
curry beans peas,"54.58333,-5.93333"
jerk style curry,"52.6386,-1.13169"
inch tikka masala pizza,"56.46913,-2.97489"
xxx sauce,"52.6386,-1.13169"
picante supper,"54.58333,-5.93333"
chicken sandwich,"52.48142,-1.89983 52.9536,-1.15047"
mustard mustard powder,"54.89228,-2.93206"
pizza strips,"55.95206,-3.19648"
trousers,"54.58333,-5.93333"
wibsey shop,"53.79391,-1.75206"
glass,"51.51279,-0.09184 52.6386,-1.13169 53.79648,-1.54785"
ketchup dip,"52.05834,1.15472 52.9536,-1.15047 54.57309,-1.23258 54.58333,-5.93333 55.95206,-3.19648"
pizza toscano,"55.86515,-4.25763"
fish chips sausage fish tubs,"53.00415,-2.18538"
swan church,"53.00415,-2.18538"
cod bite pccipscan,"51.48,-3.18 51.48,-3.18"
fish salad,"53.79391,-1.75206"
sausage chip roll,"55.95206,-3.19648"
cream penne,"55.95206,-3.19648 55.95206,-3.19648"
order takeaway,"51.48,-3.18 51.48,-3.18"
ml limonata,"55.95206,-3.19648"
donner wrap meal,"51.45523,-2.59665 52.48142,-1.89983 52.6386,-1.13169 52.6386,-1.13169 53.48095,-2.23743"
kebab lamb lamb,"52.48142,-1.89983"
cheese tomato chicken pepperoni,"54.77560,-1.58374 54.97328,-1.61396 55.86515,-4.25763"
example,"51.51279,-0.09184 54.89228,-2.93206 55.95206,-3.19648"
inch siciliano,"54.97328,-1.61396"
chocolate mint chip ice cream cone,"55.86515,-4.25763"
cellar medium,"52.6386,-1.13169"
chocolate sauce,"51.51279,-0.09184 53.79648,-1.54785"
buffalo wings,"51.51279,-0.09184"
beansprout,"53.41058,-2.97794"
caution,"51.51279,-0.09184"
lemondade,"55.86515,-4.25763"
delivery areas,"51.48,-3.18 53.48095,-2.23743 53.48095,-2.23743"
butter chicken,"52.6386,-1.13169 52.6386,-1.13169 54.57309,-1.23258"
slush reg,"54.97328,-1.61396"
brook street,"53.79391,-1.75206"
pc chicken wings portion,"53.00415,-2.18538"
fruity taste,"51.51279,-0.09184"
cuisine,"53.48095,-2.23743"
wholewheat,"54.58333,-5.93333"
piece chicken chips,"52.9536,-1.15047"
veg samosa sandwich,"53.79391,-1.75206"
msc haddock,"53.79648,-1.54785"
roast pork style,"50.71936,-3.53271"
italy,"51.51279,-0.09184 53.79648,-1.54785 55.95206,-3.19648"
pieces chicken,"52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.6386,-1.13169 53.79648,-1.54785"
hake gf,"54.58333,-5.93333"
chicken tikka madras,"56.46913,-2.97489"
sausage chips beans,"52.6386,-1.13169 53.00415,-2.18538"
fanta lemon,"54.58333,-5.93333 54.58333,-5.93333 55.86515,-4.25763 55.86515,-4.25763 55.95206,-3.19648"
fish products,"53.7446,-0.33525"
chicken nuggets chicken strips,"55.86515,-4.25763"
scoffs,"54.58333,-5.93333"
cigarettes,"55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648"
rice chips salad,"53.48095,-2.23743"
rosamara,"51.51279,-0.09184"
kebab pizza xlarge,"52.48142,-1.89983"
wing,"51.51279,-0.09184"
wine,"50.15201,-5.06654 51.48,-3.18 51.51279,-0.09184 51.62125,-3.94490 52.6386,-1.13169 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 54.89228,-2.93206 55.07216,-3.60218 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648"
seafood anchovies,"52.6386,-1.13169"
donner wraps,"56.46913,-2.97489"
pieces nuggets,"52.6386,-1.13169"
bread coleslaw,"52.9536,-1.15047"
pizza collection offer,"53.79391,-1.75206"
nentara,"55.45862,-4.62849"
lamb kebab pitta,"53.48095,-2.23743"
malai kofta,"52.6386,-1.13169"
naga donner kebabs,"52.6386,-1.13169"
cheesy chips,"50.71936,-3.53271 50.83333,0.13333 52.48142,-1.89983 52.9536,-1.15047 53.79391,-1.75206 54.58333,-5.93333 54.77560,-1.58374 54.90465,-1.38222 54.97328,-1.61396 54.97328,-1.61396"
hull east yorkshire,"53.7446,-0.33525"
chicken ham pepperoni onion,"54.97328,-1.61396"
donner onions cheese,"53.79648,-1.54785"
wales,"52.63220,1.28925"
taco twist,"54.58333,-5.93333"
mushy peas manchester caviar,"53.48095,-2.23743"
chips pitta salad,"54.77560,-1.58374 54.97328,-1.61396"
tomatoes peppers onion ham beef pineapple,"52.40656,-1.51217"
pinkish hue,"51.51279,-0.09184"
lamb skewer,"50.83333,0.13333"
food hygiene,"53.79391,-1.75206 53.79648,-1.54785"
arancia,"55.95206,-3.19648"
jalapeno bombs,"55.86515,-4.25763"
salsiccia italiana,"55.07216,-3.60218"
jalapeno peppers,"52.40656,-1.51217 52.48142,-1.89983 52.63220,1.28925 53.79648,-1.54785 55.07216,-3.60218 55.86515,-4.25763 56.46913,-2.97489 57.14369,-2.09814"
queues,"50.15201,-5.06654"
dip bbq sauce,"55.86515,-4.25763"
skills,"52.40656,-1.51217"
arrow,"53.79391,-1.75206"
volcano,"54.77560,-1.58374 54.77560,-1.58374 54.90465,-1.38222 54.97328,-1.61396"
donner kebab portion,"55.95206,-3.19648"
horsforth parking,"53.79648,-1.54785"
marinerschips,"50.15201,-5.06654"
fish bite,"51.48,-3.18 51.62125,-3.94490 53.79391,-1.75206 53.79648,-1.54785 54.89228,-2.93206"
bucket list,"50.15201,-5.06654"
beer budweiser,"55.95206,-3.19648"
inch meat lovers pizza,"57.47908,-4.22398"
fish bits,"51.62125,-3.94490 52.9536,-1.15047 52.9536,-1.15047"
seekh starter,"53.48095,-2.23743"
strength masala,"55.45862,-4.62849"
monday sunday,"55.45862,-4.62849"
whit,"52.9536,-1.15047"
ring,"53.79648,-1.54785"
kids quarter pounder chicken burger,"53.79648,-1.54785"
pepperoni jalapeno peppers,"56.46913,-2.97489"
