word,regional
side salad,"[0.5000000049998334, 0.49999999500016656]"
fish fingers,"[0.5000000049998334, 0.49999999500016656]"
understanding,"[0.5000000049998334, 0.49999999500016656]"
cream,"[0.5000000049998334, 0.49999999500016656]"
contact,"[0.5000000049998334, 0.49999999500016656]"
olives,"[0.5000000049998334, 0.49999999500016656]"
fanta l,"[0.5000000049998334, 0.49999999500016656]"
ben,"[0.5000000049998334, 0.49999999500016656]"
website,"[0.5000000049998334, 0.49999999500016656]"
tub,"[0.5000000049998334, 0.49999999500016656]"
pcs,"[0.5000000049998334, 0.49999999500016656]"
road,"[0.5000000049998334, 0.49999999500016656]"
day,"[0.5000000049998334, 0.49999999500016656]"
discounts,"[0.5000000049998334, 0.49999999500016656]"
cone,"[0.5000000049998334, 0.49999999500016656]"
promotions,"[0.5000000049998334, 0.49999999500016656]"
pot,"[0.5000000049998334, 0.49999999500016656]"
store,"[0.5000000049998334, 0.49999999500016656]"
quarter pounder burger,"[0.5000000049998334, 0.49999999500016656]"
bbq,"[0.5000000049998334, 0.49999999500016656]"
cooking,"[0.5000000049998334, 0.49999999500016656]"
sms,"[0.5000000049998334, 0.49999999500016656]"
notifications,"[0.5000000049998334, 0.49999999500016656]"
notifications emails,"[0.5000000049998334, 0.49999999500016656]"
salt,"[0.5000000049998334, 0.49999999500016656]"
condition,"[0.5000000049998334, 0.49999999500016656]"
what information protection services,"[0.5000000049998334, 0.49999999500016656]"
comments,"[0.5000000049998334, 0.49999999500016656]"
deal,"[0.5000000049998334, 0.49999999500016656]"
forms,"[0.5000000049998334, 0.49999999500016656]"
half,"[0.5000000049998334, 0.49999999500016656]"
promotion,"[0.5000000049998334, 0.49999999500016656]"
title,"[0.5000000049998334, 0.49999999500016656]"
vegetable burger,"[0.5000000049998334, 0.49999999500016656]"
banana,"[0.5000000049998334, 0.49999999500016656]"
side,"[0.5000000049998334, 0.49999999500016656]"
mussels,"[0.5000000049998334, 0.49999999500016656]"
breast,"[0.5000000049998334, 0.49999999500016656]"
potatoes,"[0.5000000049998334, 0.49999999500016656]"
pounder burger,"[0.5000000049998334, 0.49999999500016656]"
email sms,"[0.5000000049998334, 0.49999999500016656]"
mozzarella sticks,"[0.5000000049998334, 0.49999999500016656]"
fries,"[0.5000000049998334, 0.49999999500016656]"
profile page,"[0.5000000049998334, 0.49999999500016656]"
tomatoes,"[0.5000000049998334, 0.49999999500016656]"
margherita pizza,"[0.5000000049998334, 0.49999999500016656]"
collection mins,"[0.5000000049998334, 0.49999999500016656]"
salads,"[0.5000000049998334, 0.49999999500016656]"
hours,"[0.5000000049998334, 0.49999999500016656]"
kids sausage,"[0.5000000049998334, 0.49999999500016656]"
vinegar,"[0.5000000049998334, 0.49999999500016656]"
fish cakes,"[0.5000000049998334, 0.49999999500016656]"
diet pepsi,"[0.5000000049998334, 0.49999999500016656]"
spam fritter,"[0.5000000049998334, 0.49999999500016656]"
donner pizza,"[0.5000000049998334, 0.49999999500016656]"
farmhouse,"[0.5000000049998334, 0.49999999500016656]"
fish bites,"[0.5000000049998334, 0.49999999500016656]"
lettuce,"[0.5000000049998334, 0.49999999500016656]"
chicken strips,"[0.5000000049998334, 0.49999999500016656]"
touchsuccess allergy policies,"[0.5000000049998334, 0.49999999500016656]"
toy,"[0.5000000049998334, 0.49999999500016656]"
gift,"[0.5000000049998334, 0.49999999500016656]"
order type selection,"[0.5000000049998334, 0.49999999500016656]"
cockles,"[0.5000000049998334, 0.49999999500016656]"
tel,"[0.5000000049998334, 0.49999999500016656]"
kids fingers,"[0.5000000049998334, 0.49999999500016656]"
email,"[0.5000000049998334, 0.49999999500016656]"
sundries,"[0.5000000049998334, 0.49999999500016656]"
orange l,"[0.5000000049998334, 0.49999999500016656]"
juice,"[0.5000000049998334, 0.49999999500016656]"
slices,"[0.5000000049998334, 0.49999999500016656]"
l bottle,"[0.5000000049998334, 0.49999999500016656]"
pepperoni pizza,"[0.5000000049998334, 0.49999999500016656]"
milk,"[0.5000000049998334, 0.49999999500016656]"
fish bar,"[0.5000000049998334, 0.49999999500016656]"
tomato ketchup,"[0.5000000049998334, 0.49999999500016656]"
house,"[0.5000000049998334, 0.49999999500016656]"
orders,"[0.5000000049998334, 0.49999999500016656]"
doner kebab,"[0.5000000049998334, 0.49999999500016656]"
chilli sauce,"[0.5000000049998334, 0.49999999500016656]"
selection,"[0.5000000049998334, 0.49999999500016656]"
cocktail,"[0.5000000049998334, 0.49999999500016656]"
flavour,"[0.5000000049998334, 0.49999999500016656]"
spices,"[0.5000000049998334, 0.49999999500016656]"
inch,"[0.5000000049998334, 0.49999999500016656]"
delivery mins,"[0.5000000049998334, 0.49999999500016656]"
meat feast pizza,"[0.5000000049998334, 0.49999999500016656]"
tray,"[0.5000000049998334, 0.49999999500016656]"
restaurant,"[0.5000000049998334, 0.49999999500016656]"
chicken burger meal,"[0.5000000049998334, 0.49999999500016656]"
ltr bottle,"[0.5000000049998334, 0.49999999500016656]"
chips cheese,"[0.5000000049998334, 0.49999999500016656]"
cherry coke,"[0.5000000049998334, 0.49999999500016656]"
chicken pizza,"[0.5000000049998334, 0.49999999500016656]"
inch pizza,"[0.5000000049998334, 0.49999999500016656]"
jalapeno,"[0.5000000049998334, 0.49999999500016656]"
burger meal,"[0.5000000049998334, 0.49999999500016656]"
