word,regional
rights,"[0.8440251419595106, 0.15597485804048933]"
prices,"[0.8445428664960776, 0.1554571335039224]"
chicken steak,"[0.8447538939219212, 0.1552461060780788]"
hours,"[0.8471186710312297, 0.1528813289687702]"
plaice,"[0.8471972432738357, 0.15280275672616422]"
burger meal,"[0.8491698617044796, 0.15083013829552036]"
inch,"[0.8492129940853819, 0.15078700591461808]"
quarter pounder,"[0.8498525535803627, 0.15014744641963734]"
information,"[0.853380214102575, 0.14661978589742497]"
loading,"[0.8539313492711841, 0.14606865072881592]"
rice,"[0.8543786130061196, 0.14562138699388041]"
chicken curry,"[0.8565260218134011, 0.1434739781865989]"
service times,"[0.8566715823186091, 0.14332841768139087]"
ltr bottle,"[0.8566930914564934, 0.14330690854350656]"
potatoes,"[0.8580731044949366, 0.1419268955050634]"
meat feast pizza,"[0.8582370203269186, 0.1417629796730814]"
who,"[0.859592290462187, 0.140407709537813]"
chicken tikka,"[0.8609583389201315, 0.1390416610798685]"
ginger,"[0.86367389830755, 0.13632610169244994]"
mozzarella cheese,"[0.8645935504879395, 0.1354064495120605]"
offers,"[0.8650199065340287, 0.13498009346597123]"
prawns,"[0.8654222084448566, 0.1345777915551434]"
discounts,"[0.8657450948837783, 0.1342549051162217]"
cocktail,"[0.8660455246090702, 0.13395447539092975]"
fritters,"[0.8662191164825008, 0.13378088351749912]"
takeaway menu,"[0.8675942856632048, 0.1324057143367952]"
family,"[0.8676365913161088, 0.13236340868389113]"
mineral water,"[0.8683346236629006, 0.13166537633709946]"
delivery,"[0.8687368082407667, 0.13126319175923323]"
breadcrumbs,"[0.8697456737839478, 0.13025432621605215]"
pcs,"[0.870207585613121, 0.12979241438687902]"
pizza bread,"[0.87119937805871, 0.12880062194129]"
l bottle,"[0.8719650528322196, 0.12803494716778047]"
lemon,"[0.8722663009004689, 0.12773369909953117]"
half,"[0.8725389946050103, 0.12746100539498975]"
fish fingers,"[0.8754165531171106, 0.1245834468828894]"
pounder burger,"[0.8782029234405981, 0.12179707655940182]"
takeaway,"[0.8784460494007417, 0.12155395059925835]"
chicken strips,"[0.8795163185304532, 0.12048368146954679]"
pounder beef burger,"[0.8803448982015657, 0.11965510179843428]"
doner kebab,"[0.8816970981218956, 0.11830290187810448]"
wraps,"[0.8825121091279429, 0.11748789087205717]"
doner meat,"[0.8827570279746918, 0.1172429720253082]"
kids sausage meal,"[0.8837709069767159, 0.11622909302328412]"
seafood pizza,"[0.8842890546829989, 0.11571094531700116]"
health,"[0.8859749148990682, 0.11402508510093176]"
tuna,"[0.8860174186699564, 0.11398258133004358]"
donner,"[0.8874743270038974, 0.11252567299610264]"
jalapeno,"[0.8876132333456901, 0.11238676665430997]"
king prawns,"[0.8882405788044018, 0.11175942119559823]"
pepperoni pizza,"[0.8898605292771529, 0.11013947072284712]"
latte,"[0.8900632902656676, 0.10993670973433242]"
kids chicken nuggets,"[0.8908259185679056, 0.10917408143209442]"
fish bar,"[0.8925732637596904, 0.10742673624030963]"
bbq sauce,"[0.8927008217334803, 0.10729917826651969]"
chicken kebab,"[0.8931036654901353, 0.10689633450986467]"
donner kebab,"[0.8940581445516697, 0.10594185544833035]"
chicken goujons,"[0.8941312469927128, 0.10586875300728711]"
meals,"[0.8943353522234718, 0.10566464777652813]"
saturday,"[0.8949833599713959, 0.10501664002860416]"
donner burger,"[0.8962522585030228, 0.10374774149697714]"
pieces,"[0.8980327006474331, 0.10196729935256693]"
option,"[0.899448918854229, 0.10055108114577108]"
onions,"[0.8999691721709326, 0.10003082782906733]"
reviews,"[0.9003032874788178, 0.09969671252118219]"
