word,regional
pcs,"[0.4526753127369618, 0.5473246872630382]"
ketchup,"[0.45318360325517015, 0.5468163967448298]"
juice,"[0.45324824690667487, 0.5467517530933251]"
sausage chips,"[0.4537513742372403, 0.5462486257627597]"
diet pepsi,"[0.45386448473185226, 0.5461355152681477]"
chilli,"[0.4544120281490751, 0.5455879718509249]"
donner pizza,"[0.454498989146394, 0.545501010853606]"
curry sauce,"[0.4554615888709903, 0.5445384111290097]"
wings,"[0.45552950884923427, 0.5444704911507657]"
pie chips,"[0.45560901392620523, 0.5443909860737948]"
grill,"[0.45617481510673275, 0.5438251848932673]"
pounder burger,"[0.45633510939971733, 0.5436648906002827]"
rights,"[0.4565443574780971, 0.5434556425219029]"
kids fingers,"[0.45664309543529036, 0.5433569045647096]"
reviews,"[0.45680427689657066, 0.5431957231034293]"
takeaway,"[0.45682203982688785, 0.5431779601731122]"
bbq chicken,"[0.4568614407115452, 0.5431385592884548]"
salt,"[0.4571938110825281, 0.5428061889174719]"
jalapeno,"[0.45734612665879004, 0.54265387334121]"
burger meal,"[0.4575424608377784, 0.5424575391622216]"
inch meat feast,"[0.45795256940372187, 0.5420474305962781]"
cherry coke,"[0.45814517702259683, 0.5418548229774032]"
collection mins,"[0.45814938394981464, 0.5418506160501854]"
dips,"[0.4581617445136673, 0.5418382554863327]"
portions,"[0.45838188454555095, 0.541618115454449]"
bread roll,"[0.45891774426202603, 0.541082255737974]"
bacon,"[0.45899397800905406, 0.5410060219909459]"
bull,"[0.45902958549186734, 0.5409704145081327]"
diet coke,"[0.45906774961240937, 0.5409322503875906]"
chicken strips,"[0.4590758509819005, 0.5409241490180995]"
side,"[0.4590890204576995, 0.5409109795423005]"
ltr,"[0.45935397755971363, 0.5406460224402864]"
title,"[0.46000486788683337, 0.5399951321131666]"
meals,"[0.4600439319889691, 0.5399560680110309]"
roll,"[0.46031990067868256, 0.5396800993213174]"
can,"[0.4606845438646835, 0.5393154561353165]"
site,"[0.4608289482290737, 0.5391710517709263]"
potatoes,"[0.461145049744193, 0.538854950255807]"
pot,"[0.4611683671738107, 0.5388316328261893]"
quarter pounder burger,"[0.4611955158726798, 0.5388044841273202]"
chicken pakora,"[0.46130897817916205, 0.538691021820838]"
inch pepperoni,"[0.4613353092418573, 0.5386646907581427]"
sausage supper,"[0.46164649718246054, 0.5383535028175395]"
cone,"[0.46168955940917233, 0.5383104405908277]"
bbq sauce,"[0.46170527199052624, 0.5382947280094738]"
vegetable pakora,"[0.46189660127294885, 0.5381033987270512]"
chicken nuggets meal,"[0.4622320230597142, 0.5377679769402858]"
rubicon mango,"[0.462505786405227, 0.537494213594773]"
option,"[0.4625929115278822, 0.5374070884721178]"
inch bread,"[0.4629569039359276, 0.5370430960640724]"
starters,"[0.4634789436605171, 0.5365210563394829]"
fish fingers,"[0.4635033368810487, 0.5364966631189513]"
understanding,"[0.4636863039676101, 0.5363136960323899]"
pakora,"[0.4637303915913078, 0.5362696084086922]"
scallops,"[0.46373226060592687, 0.5362677393940731]"
website,"[0.46407858971261395, 0.535921410287386]"
inch margherita,"[0.46467056164157805, 0.535329438358422]"
chips salad,"[0.4648819494329066, 0.5351180505670934]"
mussels,"[0.46506494591036984, 0.5349350540896302]"
cod fish,"[0.465147984037397, 0.534852015962603]"
deals,"[0.4651667651458009, 0.5348332348541991]"
beef onion pie,"[0.46631180706526554, 0.5336881929347345]"
chicken breast supper,"[0.4667373846957307, 0.5332626153042693]"
conditions,"[0.4670609233519011, 0.5329390766480989]"
nuggets,"[0.46720805879410676, 0.5327919412058932]"
potato,"[0.4679765072864459, 0.5320234927135541]"
touchsuccess allergy policies,"[0.46845055876128294, 0.5315494412387171]"
order type selection,"[0.46845055876128294, 0.5315494412387171]"
cheese tomato,"[0.46854525372111433, 0.5314547462788857]"
quarter pounder,"[0.46854844724385747, 0.5314515527561425]"
sundries,"[0.46863199269691647, 0.5313680073030835]"
terms,"[0.46885607695150167, 0.5311439230484983]"
fish chips,"[0.46936630733531004, 0.53063369266469]"
tomato sauce,"[0.46945600644966146, 0.5305439935503385]"
tray,"[0.46945675693748645, 0.5305432430625135]"
who,"[0.46965700591629955, 0.5303429940837004]"
cooking,"[0.47010025668336475, 0.5298997433166353]"
sms,"[0.47010025668336475, 0.5298997433166353]"
notifications,"[0.47010025668336475, 0.5298997433166353]"
notifications emails,"[0.47010025668336475, 0.5298997433166353]"
what information protection services,"[0.47010025668336475, 0.5298997433166353]"
forms,"[0.47010025668336475, 0.5298997433166353]"
promotion,"[0.47010025668336475, 0.5298997433166353]"
email sms,"[0.47010025668336475, 0.5298997433166353]"
profile page,"[0.47010025668336475, 0.5298997433166353]"
olives,"[0.4702152904368131, 0.5297847095631869]"
gift,"[0.47024472863763567, 0.5297552713623643]"
privacy policy,"[0.4707736291238679, 0.5292263708761321]"
bun,"[0.4708772538022745, 0.5291227461977255]"
lamb,"[0.4710565058740326, 0.5289434941259674]"
box,"[0.471319762786616, 0.528680237213384]"
cheeseburger half pounder,"[0.47143387354000577, 0.5285661264599942]"
cheeseburger quarter pounder,"[0.47143387354000577, 0.5285661264599942]"
king,"[0.4717393652593743, 0.5282606347406257]"
