word,coordinations
curry,"51.51279,-0.09184 51.51279,-0.09184 51.51279,-0.09184 51.51279,-0.09184 51.51279,-0.09184 51.51279,-0.09184 51.51279,-0.09184 53.7446,-0.33525 53.7446,-0.33525 53.7446,-0.33525 53.7446,-0.33525 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 54.57309,-1.23258 54.57309,-1.23258 54.90465,-1.38222 54.90465,-1.38222 54.90465,-1.38222 53.38297,-1.4659 53.38297,-1.4659 53.38297,-1.4659 53.38297,-1.4659 53.38297,-1.4659 52.40656,-1.51217 52.40656,-1.51217 52.40656,-1.51217 52.40656,-1.51217 53.79648,-1.54785 53.79648,-1.54785 53.79648,-1.54785 53.79648,-1.54785 53.79648,-1.54785 53.79648,-1.54785 53.79648,-1.54785 53.79648,-1.54785 53.79648,-1.54785 53.79648,-1.54785 53.79648,-1.54785 53.79648,-1.54785 54.77560,-1.58374 54.77560,-1.58374 54.77560,-1.58374 54.77560,-1.58374 54.77560,-1.58374 54.77560,-1.58374 54.97328,-1.61396 54.97328,-1.61396 54.97328,-1.61396 54.97328,-1.61396 54.97328,-1.61396 54.97328,-1.61396 54.97328,-1.61396 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 57.14369,-2.09814 57.14369,-2.09814 53.00415,-2.18538 53.00415,-2.18538 53.00415,-2.18538 53.00415,-2.18538 53.00415,-2.18538 53.00415,-2.18538 53.48095,-2.23743 53.48095,-2.23743 53.48095,-2.23743 53.48095,-2.23743 53.48095,-2.23743 53.48095,-2.23743 51.45523,-2.59665 51.45523,-2.59665 51.45523,-2.59665 51.45523,-2.59665 51.45523,-2.59665 54.32822,-2.74565 54.66411,-2.75257 54.66411,-2.75257 54.66411,-2.75257 54.89228,-2.93206 54.89228,-2.93206 54.89228,-2.93206 54.89228,-2.93206 56.46913,-2.97489 56.46913,-2.97489 56.46913,-2.97489 56.46913,-2.97489 56.46913,-2.97489 56.46913,-2.97489 53.41058,-2.97794 53.41058,-2.97794 53.41058,-2.97794 53.41058,-2.97794 53.41058,-2.97794 51.48,-3.18 51.48,-3.18 51.48,-3.18 51.48,-3.18 51.48,-3.18 51.48,-3.18 51.48,-3.18 51.48,-3.18 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 50.71936,-3.53271 50.71936,-3.53271 55.07216,-3.60218 55.07216,-3.60218 55.07216,-3.60218 55.07216,-3.60218 51.62125,-3.94490 51.62125,-3.94490 50.37771,-4.14082 50.37771,-4.14082 57.47908,-4.22398 57.47908,-4.22398 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.45862,-4.62849 55.45862,-4.62849 55.45862,-4.62849 50.15201,-5.06654 50.15201,-5.06654 50.15201,-5.06654 54.58333,-5.93333 54.58333,-5.93333 54.58333,-5.93333 54.58333,-5.93333 54.58333,-5.93333 54.58333,-5.93333 54.99620,-7.30237 52.20765,0.13200 50.83333,0.13333 50.83333,0.13333 50.83333,0.13333 50.83333,0.13333 52.05834,1.15472 52.05834,1.15472 52.05834,1.15472 52.63220,1.28925 52.63220,1.28925 "
giardenara,"55.86515,-4.25763 "
jarrow,"54.77560,-1.58374 "
herb,"53.7446,-0.33525 52.6386,-1.13169 54.77560,-1.58374 53.79391,-1.75206 51.45523,-2.59665 54.89228,-2.93206 54.89228,-2.93206 55.95206,-3.19648 55.07216,-3.60218 55.86515,-4.25763 "
never,"52.40656,-1.51217 53.79391,-1.75206 53.48095,-2.23743 53.41058,-2.97794 51.48,-3.18 51.48,-3.18 55.95206,-3.19648 55.95206,-3.19648 50.15201,-5.06654 54.58333,-5.93333 "
wrapping,"50.15201,-5.06654 "
here,"51.51279,-0.09184 53.7446,-0.33525 52.6386,-1.13169 52.9536,-1.15047 54.90465,-1.38222 53.38297,-1.4659 53.79648,-1.54785 53.79391,-1.75206 54.89228,-2.93206 53.41058,-2.97794 51.48,-3.18 55.95206,-3.19648 50.71936,-3.53271 55.07216,-3.60218 50.37771,-4.14082 50.15201,-5.06654 50.15201,-5.06654 54.58333,-5.93333 54.58333,-5.93333 54.58333,-5.93333 54.58333,-5.93333 "
hundreds,"53.79391,-1.75206 50.15201,-5.06654 "
specialise,"50.83333,0.13333 "
beck,"51.51279,-0.09184 52.6386,-1.13169 55.95206,-3.19648 "
