word,regional
cod,"[0.7855066933765255, 0.21449330662347446]"
cookie dough,"[0.7900941090793941, 0.20990589092060583]"
vegetable burger,"[0.792060186548162, 0.2079398134518382]"
cocacola,"[0.7921858819749688, 0.20781411802503108]"
lucozade,"[0.7927431511043261, 0.20725684889567395]"
delivery times,"[0.7988175326014081, 0.20118246739859177]"
orders,"[0.8001394205776963, 0.19986057942230373]"
quarter pounder beef burger,"[0.8028629754606793, 0.19713702453932078]"
bottle,"[0.8040587870887111, 0.19594121291128866]"
chicken breast,"[0.8043441924193786, 0.1956558075806215]"
kids,"[0.8044167880141928, 0.19558321198580733]"
hours,"[0.8046774115869284, 0.19532258841307135]"
extras,"[0.804906092053701, 0.19509390794629883]"
basket,"[0.8051696864472505, 0.19483031355274966]"
chicken curry,"[0.8056098322617251, 0.19439016773827483]"
water,"[0.80563039510886, 0.1943696048911401]"
reviews,"[0.8064675991827782, 0.1935324008172221]"
ben,"[0.8065132456683458, 0.19348675433165427]"
selection,"[0.8067174201985174, 0.19328257980148236]"
delivery,"[0.8096604447536441, 0.19033955524635585]"
items,"[0.8100983396745934, 0.18990166032540645]"
kebab,"[0.8109403668852547, 0.18905963311474522]"
peas,"[0.8110472540858027, 0.18895274591419747]"
pepperoni,"[0.8116627382875803, 0.18833726171241988]"
milkshakes,"[0.812009531594726, 0.18799046840527406]"
side salad,"[0.8120279789315568, 0.1879720210684431]"
ginger,"[0.8132779087118506, 0.18672209128814954]"
tuna,"[0.8133818408830393, 0.18661815911696078]"
saturday,"[0.8157377944590268, 0.18426220554097325]"
home,"[0.8161587872501569, 0.18384121274984325]"
family deal,"[0.8164084495586759, 0.1835915504413241]"
pepsi,"[0.8225141223177637, 0.1774858776822364]"
ingredients,"[0.823545630473647, 0.176454369526353]"
lemon,"[0.8246461737158921, 0.175353826284108]"
mayo,"[0.8249680131198578, 0.17503198688014218]"
portion,"[0.8251849938224955, 0.17481500617750437]"
staff,"[0.8279974288460769, 0.17200257115392323]"
cod bites,"[0.8285739534276736, 0.17142604657232632]"
takeaway,"[0.8290448254308241, 0.1709551745691762]"
beef,"[0.8293560702438063, 0.17064392975619377]"
pudding,"[0.8296049140530979, 0.17039508594690211]"
peppers,"[0.8301496535118692, 0.16985034648813063]"
sunday,"[0.8316680169644269, 0.16833198303557306]"
diet cocacola,"[0.8317825057590631, 0.16821749424093696]"
day,"[0.8320121519952192, 0.16798784800478087]"
peppers onions,"[0.8334180348486321, 0.16658196515136786]"
bbq sauce,"[0.8338437075435637, 0.16615629245643632]"
quarter pounder cheeseburger,"[0.8361077678651476, 0.1638922321348523]"
mussels,"[0.8361840041504244, 0.16381599584957568]"
cans,"[0.8367189682475383, 0.163281031752462]"
potato fritter,"[0.8367693065389843, 0.16323069346101565]"
chilli,"[0.8373485460320199, 0.16265145396797995]"
tomato,"[0.837611390460829, 0.16238860953917122]"
pepperoni pizza,"[0.837900711740412, 0.16209928825958814]"
seafood pizza,"[0.8380056550761341, 0.16199434492386577]"
menu,"[0.8399444802102879, 0.160055519789712]"
pizzas,"[0.8407786777915038, 0.15922132220849614]"
time,"[0.8413339009550341, 0.1586660990449661]"
potato,"[0.8430744533062343, 0.15692554669376585]"
fish cake,"[0.8438755122959366, 0.15612448770406334]"
potato fritters,"[0.8446543029916074, 0.1553456970083928]"
can,"[0.8460364562081908, 0.15396354379180943]"
bbq,"[0.8472299817055474, 0.15277001829445236]"
kids sausage,"[0.8474092904174684, 0.1525907095825315]"
lamb,"[0.8481835563740524, 0.15181644362594782]"
thursday,"[0.8482193956474203, 0.15178060435257976]"
eggs,"[0.8494436709588106, 0.15055632904118937]"
opening,"[0.8495075803000637, 0.15049241969993624]"
diet,"[0.850514222142959, 0.1494857778570408]"
sides,"[0.8517838310804685, 0.1482161689195312]"
coca cola,"[0.8525193389371424, 0.1474806610628574]"
meals,"[0.8530123648798775, 0.14698763512012253]"
sauces,"[0.8532043614166244, 0.14679563858337563]"
chip,"[0.854540205877185, 0.14545979412281518]"
dips,"[0.8548119800651711, 0.1451880199348288]"
farmhouse,"[0.8562898888559508, 0.14371011114404902]"
pcs,"[0.8567961852969876, 0.14320381470301213]"
desserts,"[0.8574459702968811, 0.14255402970311887]"
chicken fillet,"[0.857710618831357, 0.14228938116864298]"
onion,"[0.8584190413645267, 0.14158095863547315]"
cocktail,"[0.8587573487702468, 0.14124265122975324]"
vegetables,"[0.8599625565859796, 0.14003744341402038]"
