word,cityNumber,word_central_lon,word_central_lat,radius,median,shopNumberLessThanMedian,shopNumberLargerThanMedian,largestDistance,avgDistance,word_ratio
mixed kebab,25,-2.100002870617923,54.01661384619823,488327.30453181197,278264.66,23,30,724197.91,316253.3,0.32
ham,24,-2.648014480833005,54.684136102866226,556316.1386256232,285559.28,25,26,772734.13,332969.34,0.25
wraps,24,-2.225237371696881,54.14589930961794,461621.9432612849,243913.0,24,31,591214.66,277821.43,0.38
meat feast,24,-2.4248003070393422,54.390697742796014,495879.3952349706,283263.24,19,35,711260.89,295189.86,0.3
small sausage,24,-2.1373842462485575,53.472889872157815,522176.11841142236,269296.59,24,18,717800.08,302208.4,0.36
find us,24,-2.562389335217968,53.95223243698264,492852.8941916156,339807.84,37,32,741934.32,340106.98,0.25
friday,24,-2.4956277724521776,53.816557292665074,499958.5980115711,274715.03,36,32,616703.34,313883.87,0.28
if you,24,-2.0718671868628507,53.70866806117268,577378.3390511257,279961.14,35,21,723052.82,326542.68,0.36
please note,24,-2.5741018584008057,53.83963635785938,508323.26280605444,282732.34,33,35,741093.65,328973.5,0.21
soft drink,24,-2.2482062700084455,53.755856258706224,569825.0202165567,252850.4,17,22,765982.0,324937.88,0.28
dr pepper,24,-2.138739565886063,54.023066095768186,486288.7677357552,284433.93,30,32,721648.13,327097.02,0.34
donner kebab,24,-2.102405207082434,53.93043400036145,465529.6543364143,266706.52,35,34,631844.3,299335.12,0.39
peas,24,-2.4719481224374875,54.143966519769386,496557.6272494365,291420.33,24,17,636000.81,308698.86,0.37
side orders,24,-2.4468447151825865,54.001665781443826,645251.972206588,303377.93,21,30,755466.12,348484.52,0.22
sweet chilli,24,-3.0703000976781945,54.17171965630998,591170.6139345737,343312.62,25,22,700216.82,361342.87,0.23
fish fingers,24,-2.5136533289511256,54.125822192384426,492438.77729292173,242461.08,24,19,774469.89,295336.45,0.44
of chips,24,-2.3559425676192745,53.938166578904564,630016.6284830072,276334.51,33,27,748418.05,334125.41,0.18
to the,24,-2.096498077768954,53.75315969152464,537195.117878679,280107.29,29,18,729241.7,337278.59,0.36
coca cola,24,-2.5148457898070182,54.07577463969954,543036.4760595985,319222.05,36,45,622410.34,331095.85,0.21
monday,24,-2.5353111432319584,53.778271289291304,566807.03065486,342981.47,38,30,712818.91,337728.7,0.28
chicken wings,24,-2.45046506162286,53.799914244874785,572710.431802617,405709.82,27,23,751833.62,359582.82,0.26
meal deal,23,-2.706879011754271,54.43782453482449,548786.7994569348,326958.71,26,22,822946.52,327663.58,0.38
pies,23,-1.6061160344067675,52.82708068764085,435225.474920031,223976.12,41,18,839314.61,265587.39,0.68
chicken kebab,23,-2.053753392277452,53.61210464535924,469059.91386260715,262523.95,38,22,798144.96,312809.42,0.28
saturday,23,-2.4470856121720495,53.72063377930464,504264.8043674331,264467.4,35,35,598266.81,308565.33,0.27
donner meat,23,-1.919744137975359,53.7485024411067,448778.70974106784,234771.31,32,37,578743.4,257353.76,0.38
served in,23,-2.3736370193868184,54.50018094099864,536897.6507110477,282156.16,17,17,846648.68,294533.06,0.41
onion,23,-2.4840655566640684,54.167313873950164,675295.8359256553,320562.47,17,30,783004.6,343535.52,0.23
pitta bread,23,-2.040990783861092,54.319165510946775,486308.7017649377,329931.92,26,24,682513.63,315778.72,0.42
sausages,23,-2.3020274266975798,53.28647104425968,620055.3193550193,354574.08,17,20,848930.88,375668.81,0.22
