word,cityNumber,word_central_lon,word_central_lat,radius,median,shopNumberLessThanMedian,shopNumberLargerThanMedian,largestDistance,avgDistance,word_ratio,regional
now,22,-2.8988393286547334,54.66715651054985,595599.1616324543,300845.77,30,13,858499.64,363016.89,0.33,N
single,19,-3.123977357144012,55.25026429400598,565185.1979425856,351263.72,43,18,961474.13,371303.11,0.34,N
email,25,-1.76612076068715,53.76816031130054,488568.3688418048,230675.22,24,23,663459.82,270462.69,0.45,N
why,22,-2.522840703839492,53.829121999140675,438073.2359428895,262844.84,32,34,576468.15,281425.91,0.26,N
drink,38,-2.2328405829100535,53.75768553673906,593449.119540887,341247.94,96,82,766144.42,351391.76,0.23,N
ring,37,-2.348563667157682,53.9632258956648,633915.9617045838,303498.69,72,82,753083.43,349705.54,0.23,N
characters,2,-0.8200078108567227,52.65442734685229,227051.6622858988,224472.1,1,1,227051.66,224472.1,0,N
creek,2,-2.3725842810916884,54.8736275247198,230271.55361318743,227626.36,1,1,230271.55,227626.36,0,N
love,9,-2.3438225339820136,53.40927570345189,456768.89486203087,178203.09,6,5,659378.24,244337.59,0.64,N
serving,9,-1.9319571024815534,53.36547584631343,374001.2200976116,116611.56,6,5,674616.42,224198.39,0.64,N
munchie,9,-3.061479984890815,55.25511378239075,351956.88060646126,179102.37,7,6,464967.58,220476.77,0.62,N
contain,9,-1.915752506742669,53.00638618986602,373896.15383121866,152934.41,6,6,433881.8,231414.84,0.58,N
sundri,14,-1.7469154894213526,54.07126223185321,445804.1917632674,179149.19,15,11,487694.77,245140.99,0.62,N
cooki,13,-1.5375132939211662,53.08064973475268,358451.3395732558,133631.17,10,9,446136.48,211330.78,0.63,N
farm,7,-1.0739381542024347,52.81104425003544,264817.6743871741,190799.37,7,5,336189.58,182493.36,0.58,N
cob,3,-1.1660744570053174,52.841237537851974,105748.97454681537,37412.66,6,7,105748.97,54648.59,1,Y
hamburger,7,-3.706731611724012,55.859654482814086,154907.6443888513,146412.88,28,5,477616.84,176752.69,0.97,Y
carbonara,5,-3.630958869580736,55.829190118383934,148471.7377780735,132795.97,12,3,563527.44,193789.66,0.93,Y
yorkshire,6,-1.565516713001284,53.730552319909116,136824.84059282928,77074.31,10,3,754167.34,180269.94,0.92,Y
rump,2,-2.823322637449767,55.67519251840041,737122.2063336073,402925.89,11,1,737122.21,402925.89,0.92,Y
